model,mae,mse,rse,ade,fde,acc,pre,rec,mmse,made
RollingAvg,0.0035571414045989513,0.0001229690242325887,0.011134137399494648,0.005851937923580408,0.006388592999428511,0.8270028233528137,0.8005637526512146,0.9841954112052917,0.00015856685058679432,0.00356609420850873
ZeroBaseline,0.006309937220066786,0.0003333014028612524,0.018283911049365997,0.00981020275503397,0.009658933617174625,0.33714285492897034,0.0,0.0,0.0005028253654018044,0.0073999366723001
mlp,0.00649372860789299,0.0004156681534368545,0.020412450656294823,0.010162039659917355,0.010447650216519833,0.3393837511539459,0.9347826242446899,0.0036342123057693243,0.0006227492704056203,0.00763673847541213
lstm,0.007311123888939619,0.0001852486893767491,0.013647295534610748,0.011568653397262096,0.012081009335815907,0.6284593939781189,0.7001847624778748,0.7685936689376831,0.00023072623298503458,0.006510877050459385
rnn2gnn,0.009725723415613174,0.0002686108055058867,0.016419829800724983,0.015277612954378128,0.014052856713533401,0.6305322051048279,0.726142168045044,0.7106152772903442,0.0002446657745167613,0.007187610492110252
gnn2rnn,0.01799537055194378,0.0034578589256852865,0.058812063187360764,0.030382433906197548,0.020329657942056656,0.6059944033622742,0.7169333696365356,0.6702163815498352,0.0005911351763643324,0.012394977733492851
grnn,0.006632201839238405,0.00027955282712355256,0.016749711707234383,0.010654862970113754,0.011575888842344284,0.45669469237327576,0.7818278074264526,0.250169038772583,0.0004064757958985865,0.007333106826990843
rgnn,0.005726619157940149,0.00026422025985084474,0.01628558523952961,0.009093660861253738,0.008432450704276562,0.39876750111579895,0.9056047201156616,0.10378634184598923,0.000379210920073092,0.006615198217332363
rgnn,0.005440667271614075,0.00021826065494678915,0.014807452447712421,0.00866521243005991,0.00848702248185873,0.426162451505661,0.8958644866943359,0.15196079015731812,0.0003116631996817887,0.0062453546561300755
rgnn,0.005207653157413006,0.00018952018581330776,0.013802904635667801,0.008258522488176823,0.008017188869416714,0.44067227840423584,0.8710843324661255,0.1833164244890213,0.0002635421114973724,0.005843886639922857